LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
360000.0,2,2,1,42,-1,-1,-1,-1,-2,-2
180000.0,2,2,2,35,-2,-2,-1,-1,-1,-1
150000.0,2,4,2,30,-1,-1,-1,-1,-1,-1
50000.0,1,1,1,40,0,0,0,0,0,0
50000.0,1,3,2,38,1,2,0,0,0,0
360000.0,2,2,1,36,0,0,2,0,0,2
130000.0,2,2,2,29,-1,-1,2,0,0,-1
50000.0,1,2,1,38,0,0,0,0,0,-2
30000.0,1,3,1,42,0,0,-1,-1,-1,-1
50000.0,1,2,1,61,2,-1,-1,-1,-1,-1
300000.0,2,2,1,40,-1,-1,-2,-2,-2,-2
20000.0,2,2,2,30,0,0,0,0,0,0
210000.0,2,2,1,27,2,2,0,0,0,0
50000.0,2,2,2,30,0,0,0,0,0,0
80000.0,2,1,2,24,0,0,0,0,0,0
50000.0,1,3,2,23,0,0,0,0,0,0
120000.0,2,2,2,27,0,0,0,0,0,0
250000.0,2,1,1,42,-1,-1,2,0,-1,2
180000.0,2,2,2,33,1,-2,-2,-2,-2,-2
360000.0,2,1,1,37,-1,2,2,-2,-2,-2
80000.0,2,2,2,22,0,0,0,0,0,0
170000.0,2,1,1,31,1,-2,-2,-2,-2,-2
310000.0,2,1,2,28,0,0,0,0,0,0
80000.0,2,1,2,25,-1,-1,2,-1,-1,-2
120000.0,2,2,2,37,2,2,2,0,0,0
230000.0,1,1,1,38,-2,-2,-2,-2,-2,-2
20000.0,1,3,2,45,0,0,0,0,0,0
80000.0,2,1,1,27,3,2,0,0,0,3
360000.0,1,2,2,32,0,0,0,2,0,0
150000.0,1,2,1,39,1,-2,-2,-1,-1,-2
390000.0,1,1,1,33,0,0,0,0,0,0
170000.0,2,2,1,41,-2,-2,-2,-2,-2,-2
210000.0,1,2,2,41,0,0,0,2,0,0
200000.0,2,2,2,36,0,0,0,0,0,0
70000.0,2,1,2,29,0,0,0,0,0,0
80000.0,1,3,2,27,0,-1,-1,-2,-2,-2
360000.0,2,2,1,29,1,-1,2,-1,-1,-1
200000.0,1,1,1,46,0,0,0,0,0,0
500000.0,2,2,1,34,-2,-2,-2,-2,-2,-2
160000.0,2,2,1,36,-2,-2,-2,-2,-2,-2
240000.0,1,2,2,26,0,0,0,0,0,0
500000.0,1,1,1,53,-2,-2,-2,-2,-2,-2
220000.0,2,1,1,46,3,2,2,0,0,0
190000.0,2,1,2,40,0,0,0,0,0,0
70000.0,1,1,2,51,0,0,0,2,0,0
30000.0,1,2,1,33,0,0,0,0,0,0
200000.0,1,1,2,38,0,0,0,2,2,2
200000.0,1,2,2,30,0,0,0,0,0,0
100000.0,2,1,2,29,1,2,0,-1,0,0
150000.0,2,2,2,24,1,-2,-2,-2,-1,-1
220000.0,1,2,1,39,5,4,3,2,0,0
450000.0,1,2,2,29,0,0,0,0,0,0
150000.0,1,2,2,27,0,0,0,0,0,-1
220000.0,2,1,2,31,0,0,0,0,0,0
220000.0,1,1,2,39,3,2,0,0,0,2
140000.0,2,2,2,29,0,0,0,0,0,0
200000.0,2,1,2,28,-1,-1,-1,-1,-1,-1
210000.0,2,3,1,42,1,-1,-1,0,0,-1
210000.0,2,1,1,43,1,-2,-2,-2,-2,-2
50000.0,1,1,1,33,1,2,0,0,0,0
50000.0,2,2,1,38,0,0,0,0,0,0
60000.0,2,2,2,23,1,2,2,0,0,0
350000.0,2,1,1,45,-1,-1,-1,-1,-1,-1
140000.0,1,2,1,39,0,0,0,0,0,0
220000.0,2,1,1,24,2,3,2,2,2,0
300000.0,2,2,1,31,0,0,0,0,0,0
20000.0,1,2,2,24,0,0,2,0,0,0
50000.0,2,3,2,54,0,0,0,0,0,0
50000.0,2,2,1,44,0,0,0,0,0,0
30000.0,2,1,2,26,-1,2,2,2,0,0
160000.0,2,2,1,45,0,0,0,0,0,0
150000.0,2,3,2,26,0,0,0,0,0,0
420000.0,2,1,2,27,0,0,0,0,0,0
90000.0,1,3,1,48,1,2,2,2,2,2
80000.0,2,2,2,30,2,2,2,2,4,4
50000.0,1,3,1,47,2,2,2,0,0,0
30000.0,1,2,2,39,0,0,0,2,0,0
220000.0,2,2,1,34,-1,-1,-1,-1,-1,-1
200000.0,1,1,2,28,-1,2,-1,-1,-2,-2
40000.0,1,3,1,50,1,2,0,-1,-1,-2
130000.0,2,1,2,27,0,0,0,0,-1,-1
280000.0,1,2,2,30,0,0,0,0,0,0
150000.0,2,3,2,48,0,0,0,0,0,0
500000.0,1,1,1,59,-2,-2,-2,-2,-2,-2
180000.0,2,1,2,28,-2,-2,-2,-2,-2,-2
80000.0,2,3,2,51,0,0,0,0,0,0
100000.0,2,2,2,24,0,0,0,0,0,0
30000.0,2,2,1,38,0,0,0,-2,-2,-2
90000.0,1,1,1,37,0,0,0,0,0,0
360000.0,2,1,2,31,-1,-1,-1,-1,-1,-2
120000.0,1,1,2,27,-1,-1,-1,-1,-1,-1
420000.0,1,1,2,35,0,0,0,0,0,0
390000.0,2,3,1,46,-2,-2,-2,-2,-2,-2
50000.0,2,2,1,22,0,0,0,0,0,0
80000.0,2,2,1,53,0,0,0,0,0,0
150000.0,1,1,1,44,-1,-1,-1,-1,-1,0
150000.0,1,1,2,30,-1,-1,-1,-1,-1,-1
20000.0,2,1,2,46,1,2,2,2,0,0
250000.0,2,1,2,37,-1,-1,-1,-1,-1,-1
60000.0,2,2,1,45,0,-1,-1,0,0,0
80000.0,2,3,1,30,1,-1,2,2,-2,-2
120000.0,1,1,2,28,0,0,0,0,-1,-1
20000.0,1,2,2,25,0,0,3,2,2,-1
480000.0,2,3,1,41,0,0,0,0,0,0
140000.0,2,1,2,27,0,0,0,0,0,0
200000.0,2,1,2,44,0,0,0,0,0,0
130000.0,1,2,2,25,0,0,0,0,0,0
50000.0,1,2,2,41,0,0,0,0,0,0
50000.0,1,2,2,24,0,0,0,0,0,0
50000.0,1,3,1,52,2,2,2,4,3,3
20000.0,2,3,1,43,2,0,0,0,0,0
30000.0,2,3,2,26,0,0,0,0,-1,-1
180000.0,2,2,2,28,-1,-1,-1,-1,-1,-1
60000.0,1,1,1,38,2,0,0,0,2,2
50000.0,2,1,1,55,0,0,0,0,0,0
50000.0,2,3,2,29,0,0,0,0,0,0
110000.0,1,1,2,30,1,2,-1,-1,-1,0
220000.0,1,1,2,31,-2,-2,-2,-2,-2,-2
20000.0,2,2,1,47,0,0,0,0,0,0
20000.0,1,1,2,50,0,0,0,-1,-1,-1
460000.0,1,2,1,55,0,0,-1,0,0,0
50000.0,2,2,1,36,-2,-2,-2,-2,-1,-1
150000.0,1,1,2,28,0,-1,-1,-1,0,0
220000.0,2,1,1,35,1,-2,-2,-2,-2,-2
500000.0,2,2,1,53,-1,-1,-1,-1,-1,0
130000.0,2,3,1,38,0,0,0,0,0,0
100000.0,2,2,1,39,0,0,0,0,0,0
140000.0,1,2,1,36,1,-1,0,0,0,0
230000.0,2,3,1,54,-1,-1,-1,-1,-1,-1
390000.0,2,1,2,27,0,0,0,0,0,0
260000.0,2,2,1,44,1,-1,-1,-1,-1,-1
230000.0,2,2,1,32,0,0,0,0,0,0
30000.0,1,3,1,47,0,0,2,0,0,-2
50000.0,1,2,2,23,0,0,0,0,0,0
90000.0,2,2,2,47,0,0,0,0,0,0
50000.0,2,3,1,31,0,0,0,0,0,0
420000.0,1,1,1,32,0,0,0,0,0,0
500000.0,2,1,1,49,-1,-1,-1,-1,-1,-1
240000.0,1,2,2,30,0,0,0,0,0,-1
220000.0,2,2,2,28,-1,-1,-2,-2,-2,-2
60000.0,1,2,1,47,0,0,0,0,0,2
360000.0,1,2,2,39,-1,-1,-1,-1,-1,-1
160000.0,1,1,2,35,-1,-1,-1,-1,-1,-1
360000.0,1,1,1,30,0,0,0,-1,-1,-1
270000.0,1,1,1,61,0,0,0,0,0,0
80000.0,2,3,1,49,0,0,0,0,0,0
500000.0,2,2,1,50,-2,-1,-1,-1,-1,-1
150000.0,2,1,2,34,-1,-1,-2,-1,0,-1
100000.0,1,2,1,46,2,-1,-1,-1,-1,-1
