ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
29688,240000.0,1,2,2,37,2,2,2,0,0,2,45070.0,46111.0,45268.0,46295.0,48903.0,49763.0,1900.0,0.0,1900.0,3500.0,1600.0,0.0
2950,60000.0,2,2,1,46,0,0,0,0,0,0,60987.0,60832.0,50469.0,40564.0,40601.0,40467.0,2145.0,1612.0,1404.0,1442.0,1445.0,1389.0
19560,160000.0,2,3,1,37,0,0,0,0,0,0,17500.0,15933.0,19536.0,7550.0,6977.0,7811.0,10000.0,10000.0,3006.0,3000.0,3000.0,0.0
692,170000.0,1,2,2,27,-1,2,2,-2,-2,-2,1170.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1927,70000.0,2,2,2,22,0,0,0,0,0,0,65793.0,26665.0,22630.0,14573.0,15127.0,12596.0,2000.0,1400.0,291.0,1500.0,5000.0,2000.0
2894,70000.0,2,2,3,24,1,2,0,0,0,0,4177.0,2657.0,2752.0,1048.0,462.0,830.0,0.0,1500.0,0.0,0.0,1123.0,0.0
10435,180000.0,1,2,1,34,-1,-1,-1,-1,-1,-1,1341.0,4185.0,291.0,570.0,2260.0,1583.0,4185.0,291.0,570.0,2260.0,1583.0,3974.0
7069,150000.0,1,2,1,37,2,2,2,2,2,2,106628.0,100750.0,86686.0,78497.0,67612.0,55050.0,7400.0,0.0,4800.0,1800.0,0.0,2100.0
11642,20000.0,1,1,2,39,2,0,0,0,0,0,16869.0,17895.0,18939.0,19150.0,19549.0,20073.0,1606.0,1650.0,823.0,857.0,1000.0,400.0
28519,50000.0,2,3,1,30,0,0,0,0,0,0,48549.0,49256.0,50338.0,48848.0,46709.0,47688.0,1813.0,1895.0,2200.0,1595.0,1653.0,1709.0
7699,110000.0,2,3,2,31,0,0,0,0,0,0,77595.0,78322.0,66068.0,61486.0,60695.0,58147.0,3700.0,2212.0,2100.0,2200.0,2200.0,1910.0
14501,240000.0,2,2,1,29,0,0,2,2,2,0,198128.0,211417.0,206386.0,219111.0,211373.0,211215.0,16500.0,0.0,16007.0,7.0,8229.0,7621.0
130,60000.0,1,3,1,55,3,2,2,0,0,0,60521.0,61450.0,57244.0,28853.0,29510.0,26547.0,2504.0,7.0,1200.0,1200.0,1100.0,1500.0
16722,30000.0,1,3,2,31,0,0,0,0,0,0,28275.0,29772.0,27821.0,28075.0,29682.0,28001.0,2000.0,2000.0,2000.0,2014.0,2000.0,2000.0
29240,20000.0,1,2,2,24,0,0,0,0,-2,-2,15940.0,19222.0,20650.0,0.0,0.0,0.0,3572.0,2000.0,0.0,0.0,0.0,0.0
25773,420000.0,2,2,1,33,0,0,0,0,0,0,52018.0,60519.0,67083.0,69424.0,63523.0,60630.0,10000.0,10083.0,10094.0,10000.0,2500.0,5000.0
2771,90000.0,2,2,2,23,2,0,0,0,0,0,87669.0,86653.0,57819.0,30895.0,14543.0,9329.0,3499.0,3000.0,3000.0,10000.0,2000.0,10000.0
28350,180000.0,2,2,1,36,2,2,2,2,2,0,172360.0,176867.0,179020.0,180773.0,128078.0,119632.0,9000.0,6600.0,7000.0,0.0,4500.0,4410.0
6820,100000.0,1,1,1,44,0,0,0,0,0,0,37222.0,38628.0,39982.0,40914.0,42053.0,43151.0,2000.0,2000.0,1600.0,1800.0,1800.0,1700.0
25476,80000.0,2,1,2,28,0,0,0,0,0,0,39663.0,40664.0,42742.0,43730.0,44721.0,45764.0,1664.0,2742.0,2000.0,1720.0,1764.0,1762.0
4094,100000.0,1,2,2,31,1,2,2,2,3,2,24377.0,25167.0,24541.0,27304.0,26669.0,26172.0,1400.0,0.0,3100.0,0.0,0.0,2000.0
26030,130000.0,2,3,1,42,-1,-1,-1,0,0,-2,2551.0,0.0,59892.0,60000.0,0.0,0.0,0.0,59892.0,1200.0,0.0,0.0,0.0
25873,180000.0,2,2,2,33,-1,-1,-1,-1,-1,-1,4160.0,7817.0,2358.0,18572.0,11560.0,4298.0,7817.0,2358.0,18577.0,11560.0,4298.0,12330.0
19042,50000.0,2,2,1,23,0,-1,0,0,0,0,14465.0,48796.0,50206.0,50831.0,42731.0,43224.0,50295.0,2500.0,2031.0,1274.0,1500.0,1600.0
13725,50000.0,1,3,2,23,0,0,-1,-1,-1,-1,42821.0,6609.0,1600.0,5087.0,4270.0,7881.0,1008.0,1600.0,5087.0,4270.0,7881.0,1000.0
7835,200000.0,1,1,2,27,-2,-2,-2,-2,-2,-2,2436.0,3458.0,758.0,-2.0,750.0,26903.0,5963.0,760.0,0.0,752.0,26983.0,599.0
2351,490000.0,1,1,1,41,0,0,0,0,0,0,95997.0,98047.0,100412.0,102736.0,105083.0,107334.0,3600.0,4000.0,4000.0,4000.0,4000.0,4000.0
27084,320000.0,1,1,2,29,0,0,0,-1,-1,-1,46758.0,31422.0,33619.0,23553.0,9398.0,4296.0,2563.0,9842.0,24709.0,6022.0,4318.0,4522.0
12149,210000.0,2,2,2,27,0,0,0,0,0,0,87909.0,86769.0,85001.0,83811.0,82399.0,81434.0,4100.0,3500.0,3113.0,3000.0,3331.0,2546.0
3496,100000.0,2,3,1,59,1,-1,0,-1,-1,-1,0.0,7240.0,7702.0,1550.0,12079.0,35920.0,7240.0,1000.0,1558.0,12079.0,35920.0,0.0
22908,180000.0,2,1,1,48,-2,-2,-2,-2,-2,-2,8308.0,437.0,21645.0,5800.0,24283.0,11545.0,440.0,21849.0,5829.0,24404.0,11602.0,5819.0
13480,390000.0,1,1,1,41,2,2,2,2,2,2,167795.0,171245.0,167317.0,175283.0,179140.0,182864.0,7299.0,0.0,12000.0,6500.0,6500.0,0.0
14518,100000.0,1,1,2,32,0,0,0,0,0,0,87580.0,84140.0,86400.0,87275.0,89082.0,91030.0,3300.0,3881.0,2500.0,2519.0,2700.0,3004.0
3156,300000.0,2,1,1,38,-1,-1,-1,-2,-2,-2,1008.0,228.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,888.0,0.0,0.0
14982,300000.0,2,1,2,31,-1,-1,-1,-1,-1,-1,7834.0,1086.0,316.0,316.0,316.0,316.0,1093.0,316.0,316.0,316.0,316.0,316.0
5831,140000.0,2,2,1,28,0,0,0,0,0,0,131292.0,134057.0,135820.0,84829.0,86753.0,88808.0,7000.0,5820.0,3829.0,3753.0,3808.0,4744.0
26768,20000.0,1,1,2,25,0,0,0,0,0,0,18069.0,17905.0,18712.0,19682.0,18384.0,18768.0,2180.0,1400.0,1300.0,1000.0,680.0,1100.0
18032,120000.0,1,2,1,40,0,0,0,0,0,0,35671.0,37073.0,38472.0,39510.0,40873.0,42082.0,2000.0,2000.0,2000.0,2000.0,2000.0,3000.0
14660,130000.0,1,2,2,32,-1,-1,-1,-1,-1,-1,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0,1496.0
5072,120000.0,2,2,2,27,1,-2,-2,-2,-1,-1,0.0,0.0,0.0,0.0,940.0,170.0,0.0,0.0,0.0,940.0,170.0,2018.0
27714,50000.0,2,2,2,24,0,0,0,0,0,0,5819.0,8044.0,3469.0,2121.0,821.0,3821.0,2555.0,1200.0,1000.0,0.0,3000.0,0.0
15603,60000.0,2,2,2,24,1,-1,3,2,0,-1,0.0,948.0,948.0,632.0,316.0,316.0,948.0,0.0,0.0,0.0,316.0,782.0
1663,90000.0,2,1,2,27,-2,-2,2,2,-2,-2,1179.0,6346.0,4607.0,-6.0,-2153.0,-4306.0,7020.0,2980.0,3000.0,0.0,0.0,0.0
11463,10000.0,2,2,2,22,1,2,0,0,0,-2,7194.0,6934.0,8786.0,8014.0,0.0,0.0,0.0,2000.0,430.0,0.0,0.0,0.0
24761,30000.0,1,2,2,35,-1,2,2,-1,-1,-2,780.0,390.0,0.0,780.0,0.0,0.0,0.0,0.0,780.0,0.0,0.0,0.0
10277,500000.0,2,2,1,34,0,0,0,0,0,0,60278.0,56247.0,46940.0,45607.0,41412.0,31200.0,1745.0,1635.0,2000.0,3450.0,3000.0,2000.0
27021,280000.0,1,1,2,32,1,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12350,110000.0,1,2,2,29,0,0,0,0,0,0,112533.0,109515.0,48917.0,46765.0,40212.0,39690.0,4101.0,3000.0,2000.0,3000.0,5000.0,3000.0
29580,20000.0,1,2,2,36,3,2,2,7,7,7,2400.0,2400.0,2400.0,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0
22392,250000.0,2,1,2,33,2,0,0,0,0,2,243262.0,238599.0,198588.0,203286.0,215882.0,214320.0,7991.0,9000.0,8000.0,16000.0,2000.0,6200.0
13978,260000.0,2,1,2,29,0,0,0,0,0,0,203896.0,196219.0,188608.0,172722.0,159826.0,146891.0,7282.0,6486.0,5712.0,5647.0,5386.0,5000.0
8468,140000.0,1,1,1,45,2,2,2,2,2,2,64393.0,65271.0,66606.0,64940.0,73677.0,75316.0,2500.0,3000.0,0.0,10000.0,3000.0,0.0
7150,380000.0,1,1,2,27,-1,2,-1,-1,-1,-1,2501.0,1138.0,966.0,1258.0,1121.0,1362.0,0.0,966.0,1500.0,1121.0,1362.0,1472.0
10477,180000.0,2,1,2,34,1,-2,-2,-1,-1,-1,0.0,0.0,0.0,4279.0,488.0,659.0,0.0,0.0,4279.0,488.0,659.0,5067.0
17230,50000.0,2,2,1,27,0,0,0,0,0,0,50544.0,50792.0,50480.0,50372.0,50993.0,7957.0,2300.0,2000.0,2000.0,2500.0,289.0,1000.0
25034,20000.0,1,2,1,55,0,0,0,0,0,0,16734.0,17748.0,18384.0,18976.0,18955.0,18983.0,1300.0,1314.0,1296.0,665.0,710.0,693.0
4762,160000.0,1,3,2,30,0,0,0,0,0,0,160388.0,175167.0,127848.0,96066.0,93974.0,40170.0,142159.0,3592.0,7317.0,2312.0,1637.0,1074.0
